No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
50,Al,90.995,1085.2,17.4,11.0,0.69,170.0,False
50,P,197.118,18.7,2.1,2.7,5.84,140.0,False
50,Mg,107.534,664.3,41.4,0.0,0.89,176.0,False
50,Ca,107.121,2644.7,32.7,38.6,0.44,91.0,False
50,Ti,88.305,587.6,0.0,47.5,0.96,128.0,False
51,Na,129.476,313.2,0.0,17.7,1.84,159.0,False
51,S,171.948,2.8,6.3,5.4,24.42,117.0,False
51,Fe,134.739,165.5,2.7,2.9,1.77,384.0,False
51,Si,77.822,3355.5,29.1,17.3,0.39,217.0,False
51,Cl,151.478,13.0,8.5,8.1,7.61,46.0,False
51,F,199.14,1.1,4.2,2.9,49.03,388.0,True
51,K,119.485,203.4,28.9,21.3,1.44,58.0,False
51,Mn,146.243,2.3,2.3,1.9,19.89,292.0,False
51,Al,90.995,1072.7,18.2,9.9,0.69,170.0,False
51,P,197.118,17.2,2.9,2.6,6.19,147.0,False
51,Mg,107.534,641.1,41.5,0.0,0.91,176.0,False
51,Ca,107.121,2473.0,33.9,36.6,0.46,90.0,False
51,Ti,88.305,588.9,0.0,47.1,0.96,128.0,False
52,Na,129.476,317.7,0.0,19.9,1.83,168.0,False
52,S,171.948,2.0,5.3,5.7,32.71,115.0,False
52,Fe,134.739,155.9,2.9,3.2,1.83,402.0,False
52,Si,77.822,3395.9,31.0,16.2,0.39,220.0,False
52,Cl,151.478,10.7,7.9,9.5,9.08,47.0,False
52,F,199.14,1.3,2.6,4.1,38.48,361.0,True
52,K,119.485,164.3,25.8,19.7,1.62,55.0,False
52,Mn,146.243,1.8,2.0,2.3,25.37,299.0,False
52,Al,90.995,1087.9,13.8,8.9,0.69,152.0,False
52,P,197.118,17.8,3.8,2.2,6.08,149.0,False
52,Mg,107.534,653.0,41.8,0.0,0.9,177.0,False
52,Ca,107.121,2560.2,34.1,37.6,0.45,91.0,False
52,Ti,88.305,597.6,0.0,42.8,0.95,122.0,False
53,Na,129.476,332.8,0.0,21.4,1.79,175.0,False
53,S,171.948,3.1,6.3,4.7,21.72,113.0,False
53,Fe,134.739,146.4,1.8,2.9,1.88,364.0,False
53,Si,77.822,3400.9,29.0,20.1,0.39,222.0,False
53,Cl,151.478,12.6,7.3,6.9,7.52,42.0,False
53,F,199.14,0.5,4.1,2.9,107.96,386.0,True
53,K,119.485,288.7,35.1,21.1,1.18,62.0,False
53,Mn,146.243,2.0,2.1,2.2,23.05,299.0,False
53,Al,90.995,1105.7,15.2,9.1,0.68,158.0,False
53,P,197.118,21.3,2.2,2.5,5.39,138.0,False
53,Mg,107.534,639.3,41.6,0.0,0.91,177.0,False
53,Ca,107.121,2419.1,34.6,33.9,0.46,88.0,False
53,Ti,88.305,609.2,0.0,49.5,0.94,131.0,False
54,Na,129.476,233.2,0.0,16.2,2.14,152.0,False
54,S,171.948,2.4,5.4,4.6,26.36,108.0,False
54,Fe,134.739,187.9,1.7,3.8,1.66,403.0,False
54,Si,77.822,3669.5,27.2,17.7,0.37,213.0,False
